FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.1112,Russia,Yakutsk,Spasskaya 11,Continuous,129.6203,62.2523,215.5483,7,POINT (129.62031 62.25228),1997,2017,118,Pavel Konstantinov,45
tsp.1113,Russia,Tiksi,Tiksi_stone_ridge,Continuous,128.7773,71.5867,46.571,30,POINT (128.777346 71.586731),1992,2017,81,Mikail Zheleznyak,45
tsp.1114,Russia,Aldan,Evota,Discontinuous,125.1806,57.5433,1346.8451,5,POINT (125.18063 57.54335),2010,2017,81,Mikail Zheleznyak,45
tsp.1115,Russia,Yakutsk,Chabada 5-81,Continuous,129.4176,61.9637,221.9717,21,POINT (129.41758 61.96371),1981,2017,137,Pavel Skryabin,45
tsp.1116,Russia,Chara,Belenkiy-2,Continuous,118.1916,56.7608,728.1597,0.3,POINT (118.19162 56.76077),,,14,Dmitry Sergueev,7
tsp.1117,Russia,Chara,Vega-23,Continuous,118.0819,56.9017,800.662,30,POINT (118.08193 56.90167),2013,2017,14,Dmitry Sergueev,7
tsp.1118,Russia,Olkhon,Olkhon-Pit,Sporadic,107.4397,53.2303,474.7017,3.65,POINT (107.439657 53.230319),2012,2015,156,Elena Kozireva,78
tsp.1119,Austria,Kitzsteinhorn,Kitzsteinhorn 1,Mountain,12.6853,47.1893,3003.9158,22,POINT (12.68529504 47.18934268),,,151,Ingo Hartmeyer,75
tsp.1120,Austria,Kitzsteinhorn,Kitzsteinhorn 2,Mountain,12.6853,47.1897,2980.0239,30,POINT (12.68530266 47.18974373),,,151,Ingo Hartmeyer,75
tsp.1121,Austria,Kitzsteinhorn,Kitzsteinhorn 3,Mountain,12.6835,47.1885,2968.572,25,POINT (12.6834573 47.188517),,,151,Ingo Hartmeyer,75
tsp.1122,Austria,Kitzsteinhorn,Kitzsteinhorn 4,Mountain,12.685,47.1887,3029.3154,20,POINT (12.68497007 47.18865189),,,151,Ingo Hartmeyer,75
tsp.1123,Austria,Kitzsteinhorn,Kitzsteinhorn 5,Mountain,12.6849,47.1884,3035.0479,20,POINT (12.68488424 47.18843315),,,151,Ingo Hartmeyer,75
tsp.1125,Italy,Piz Boè,Piz Boè,Discontinuous,11.833,46.509,2900.323,30,POINT (11.833 46.509),2010,2014,155,Andrea Crepaz,77
