FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.25,Sweden,Abisko,Storflaket 1,Discontinuous,18.9734,68.3491,386,7,POINT (18.973389 68.349074),2007,2013,9,Margareta Johansson,3
tsp.26,Sweden,Tavvavuoma,Tavvavuoma 3,Isolated Patches,20.9018,68.4623,555,2,POINT (20.901767 68.4623),2005,2009,91,Britta Sannel,48
tsp.27,United States,Barrow,Barrow 2 (N.Meadow Lake 2 NM2),Continuous,-156.6541,71.3105,6.2126,45,POINT (-156.654053 71.310532),2005,2009,10,Vladimir E. Romanovsky,5
tsp.30,United States,Barrow,Barrow 2 surface,Continuous,-156.6487,71.322,3.048,1,POINT (-156.648668 71.321975),2000,2013,10,Vladimir E. Romanovsky,5
tsp.32,Russia,Vorkuta,Vorkuta 8C,Discontinuous,63.3659,67.3937,160.6904,19,POINT (63.36592 67.39367),2013,2013,83,Naum G. Oberman,46
tsp.33,United States,Barrow,Barrow 1 (N Meadow Lake 1 NM1),Continuous,-156.6615,71.309,6.4009,48,POINT (-156.661517 71.309033),2005,2009,10,Vladimir E. Romanovsky,5
tsp.34,Russia,Nadym,Nadym 11_75,Discontinuous,72.8592,65.3033,7,10,POINT (72.85916 65.303303),2005,2009,76,Natalia Moskalenko,43
tsp.43,Greenland,Zackenberg,ZC 1 Zackenberg,Continuous,-20.4889,74.4689,50.6324,3.3,POINT (-20.488924 74.468909),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.44,Greenland,Sisimiut-TKV,SIS2007-06a,Discontinuous,-53.6447,66.9361,33.1945,20.5,POINT (-53.64472 66.9361),,,51,Thomas Ingeman-Nielsen,33
tsp.45,Switzerland,Muot da Barba Peider,MBP_0296,Mountain,9.9314,46.4966,2942,18,POINT (9.93141 46.496573),1996,2015,13,Marcia Phillips,2
tsp.46,Sweden,Abisko,Kursflaket 2 PYRN,Discontinuous,18.872,68.351,349.0009,13,POINT (18.872 68.35098),2000,2013,9,Margareta Johansson,3
tsp.47,Sweden,Tavvavuoma,Tavvavuoma 12,Discontinuous,20.6836,68.4102,717,6,POINT (20.683628 68.410243),2007,2013,92,Peter Kuhry,48
tsp.48,Russia,Tiksi,Tiksi,Continuous,128.9114,71.5823,2.99,30,POINT (128.911406 71.582327),2005,2009,79,Alexander L. Kholodov,5
tsp.49,Russia,Tiksi,Bykovsky Peninsula 3_03,Continuous,129.3989,71.7809,15.2449,25,POINT (129.398924 71.780871),2000,2013,79,Alexander L. Kholodov,5
tsp.50,Russia,Lena River Delta,Cape Mamonyov Klyk,Continuous,117.1588,73.6034,10.5091,60.8,POINT (117.158781 73.603437),2005,2009,85,Paul Overduin,42
tsp.51,Russia,Lena River Delta,Kurunagh,Continuous,126.1933,72.3216,26.569,4,POINT (126.19332 72.321578),2007,2013,71,Julia Boike,42
tsp.52,Russia,Lena River Delta,Sardagh,Continuous,127.2415,72.3202,62.9161,101,POINT (127.2415 72.32016),2000,2013,85,Paul Overduin,42
tsp.53,Russia,Samoylov (Lena River Delta),Samoylov,Continuous,126.4751,72.3696,10.9926,27,POINT (126.475111 72.369555),2006,2017,71,Julia Boike,42
tsp.54,Russia,Chara,Azarova-1,Continuous,117.5842,56.9018,2018.1361,1,POINT (117.584158 56.901794),2007,2008,14,Dmitry Sergueev,7
tsp.55,Russia,Yakutsk,Umaybyt 20,Continuous,128.8494,61.4288,186.8822,20,POINT (128.84942 61.42883),,,118,Pavel Konstantinov,45
tsp.56,Svalbard,Svalbard ,Gruvefjellet,Continuous,15.6434,78.1966,419.2074,5,POINT (15.643447 78.196614),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.57,Svalbard,Svalbard ,Kapp Linne 1,Continuous,13.6415,78.0566,18.5327,30,POINT (13.641478 78.05663),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.58,Svalbard,Svalbard ,NA-B-1 Ny-Ålesund,Continuous,11.9221,78.9219,27.5498,10,POINT (11.922118 78.921923),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.59,Svalbard,Svalbard ,Janssonhaugen P11,Continuous,16.4718,78.1788,270,15,POINT (16.471831 78.178782),2007,2013,65,Ketil Isaksen,38
tsp.60,Svalbard,Svalbard ,Larsbreen,Continuous,15.5984,78.1926,499.4406,12,POINT (15.598418 78.192595),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.61,Svalbard,Svalbard ,Innerhytte pingo,Continuous,16.3235,78.1867,127.3505,21,POINT (16.323515 78.186657),2005,2009,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.62,Svalbard,Svalbard ,Breinosa (E-2009),Continuous,16.0626,78.1416,638.2451,334.8,POINT (16.06259 78.141589),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.63,Svalbard,Svalbard ,Endalen PYRN,Continuous,15.7816,78.1902,40.189,20,POINT (15.78158 78.190206),2005,2009,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.64,United States,Dead Horse,Deadhorse,Continuous,-148.4653,70.1613,16,61,POINT (-148.4653 70.161283),2000,2013,10,Vladimir E. Romanovsky,5
tsp.65,United States,Ivotuk,Ivotuk 3,Continuous,-155.7381,68.4789,565.1167,1,POINT (-155.738093 68.4789),2007,2013,10,Vladimir E. Romanovsky,5
tsp.66,Svalbard,Svalbard ,LF-B-1 Lunckefjell (20-2009),Continuous,16.7355,78.0225,807.0211,90,POINT (16.735503 78.022478),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.67,Canada,Mackenzie Delta,Campbell Lake 1,Continuous,-133.096,68.244,122.6064,4.6,POINT (-133.09604 68.24402),2007,2013,39,Sharon Smith,8
tsp.68,Canada,Mackenzie Delta,CD100,Discontinuous,-134.8478,68.3497,2,20.3,POINT (-134.847781 68.34972),2005,2009,55,Julian Kanigan,32
tsp.69,Russia,Bolvansky,Bolvansky 59,Continuous,54.4986,68.2875,30,15,POINT (54.498611 68.2875),2006,2015,78,Galina Malkova,43
tsp.70,Russia,Bolvansky,Bolvansky 65,Continuous,54.5194,68.2867,28,12,POINT (54.519444 68.286667),2007,2016,78,Galina Malkova,43
tsp.71,Russia,Bolvansky,Bolvansky 83,Continuous,54.4828,68.2853,30.5,10,POINT (54.482778 68.285278),2007,2013,78,Galina Malkova,43
tsp.72,Canada,Mackenzie Delta,Hill Lake 1,Continuous,-132.4906,67.9889,229,5,POINT (-132.490591 67.988895),2000,2013,39,Sharon Smith,8
tsp.73,Canada,Mackenzie Delta,Hill Lake 2,Continuous,-132.4899,67.9888,227.9362,4.25,POINT (-132.489904 67.988782),2007,2013,39,Sharon Smith,8
tsp.74,United States,Ivotuk,Ivotuk 4,Continuous,-155.7395,68.481,580.9678,1,POINT (-155.739549 68.481002),2000,2013,10,Vladimir E. Romanovsky,5
tsp.75,Canada,Herschel Island,Herschel Island 1,Continuous,-138.8608,69.5755,63.0842,28.5,POINT (-138.860773 69.575478),2013,2013,7,Chris R. Burn,1
tsp.76,Canada,Mackenzie Delta,KC-07,Discontinuous,-135.2487,69.3138,1,28,POINT (-135.248674 69.313778),2007,2013,39,Sharon Smith,8
tsp.77,Canada,Mackenzie Delta,Involuted Hill IH88-1,Continuous,-132.6286,69.4736,32,35,POINT (-132.628552 69.473603),2007,2013,11,Mark Nixon,8
tsp.78,Canada,Mackenzie Delta,Lousy Point 216-86-505,Continuous,-134.285,69.2176,30,30,POINT (-134.284967 69.217634),2007,2013,11,Mark Nixon,8
tsp.79,Sweden,Tarfala,Ta-1 PACE/Tarfala*,Continuous,18.6338,67.9168,1475.0483,100,POINT (18.63382 67.916791),2005,2009,90,Per Holmlund,48
tsp.80,Sweden,Tarfala,Ta-2 PACE/Tarfala*,Continuous,18.6335,67.9167,1467.6768,15,POINT (18.63352 67.916678),2007,2013,90,Per Holmlund,48
tsp.82,United States,Barrow,Barrow 3 (Barrow road),Continuous,-156.6714,71.3217,3.048,4.6,POINT (-156.671388 71.321666),2005,2009,10,Vladimir E. Romanovsky,5
tsp.83,Russia,Tiksi,Bykovsky Peninsula (alas) IV_04*,Continuous,129.3703,71.7402,4.6856,14,POINT (129.370257 71.740199),2005,2009,79,Alexander L. Kholodov,5
tsp.84,Russia,Tiksi,Bykovsky Peninsula (edoma) 11_03*,Continuous,129.3506,71.7398,7.5508,25,POINT (129.350559 71.739755),2000,2013,79,Alexander L. Kholodov,5
tsp.85,Canada,Mackenzie Delta,Campbell Lake 2,Continuous,-133.0942,68.2429,123,5,POINT (-133.094175 68.242881),2007,2013,39,Sharon Smith,8
tsp.86,Canada,Mackenzie Delta,Campbell Lake 3,Continuous,-133.0956,68.2436,123,3,POINT (-133.095568 68.243574),2007,2013,39,Sharon Smith,8
tsp.87,United States,Dead Horse,Deadhorse 1 (surface),Continuous,-148.4656,70.1615,16.1139,1,POINT (-148.46557 70.161528),2007,2013,10,Vladimir E. Romanovsky,5
tsp.88,United States,Dead Horse,Deadhorse 2 (new instrumentation),Continuous,-148.4651,70.1617,16,1,POINT (-148.465055 70.161703),2007,2013,10,Vladimir E. Romanovsky,5
tsp.89,United States,Sagwon,Sagwon MAT,Continuous,-148.7001,69.4285,277.1829,1,POINT (-148.700059 69.428506),2000,2013,99,Doug L. Kane,56
tsp.90,United States,Wainwright,Wainwright 1,Continuous,-160.0223,70.6446,8.3553,38,POINT (-160.022329 70.644633),2000,2013,10,Vladimir E. Romanovsky,5
tsp.91,United States,Wainwright,Wainwright 2,Continuous,-160.0229,70.644,8.8635,38,POINT (-160.022908 70.644022),2005,2009,100,Kenji Yoshikawa,58
tsp.92,Russia,Nadym,Nadym Peatland,Discontinuous,72.8862,65.2994,7,10,POINT (72.886239 65.299411),2009,2013,76,Natalia Moskalenko,43
tsp.93,United States,Howe Island,Howe Island 1_b,Continuous,-147.9932,70.3152,12.0144,1,POINT (-147.993244 70.315246),2000,2013,10,Vladimir E. Romanovsky,5
tsp.94,United States,Howe Island,Howe Island 1_ib,Continuous,-147.9932,70.3152,11.8069,1,POINT (-147.993158 70.315152),2000,2013,10,Vladimir E. Romanovsky,5
tsp.95,United States,Happy Valley,Happy Valley 1_b,Continuous,-148.8484,69.1466,309.0075,1,POINT (-148.848353 69.14664),2005,2009,10,Vladimir E. Romanovsky,5
tsp.96,United States,Imnavait,Imnaviat 1 (deep),Continuous,-149.3494,68.64,871,80,POINT (-149.349422 68.640006),2007,2013,10,Vladimir E. Romanovsky,5
tsp.97,United States,Toolik Lake,Toolik Lake 1,Continuous,-149.5954,68.628,725.5056,92,POINT (-149.595434 68.627998),2007,2013,10,Vladimir E. Romanovsky,5
tsp.98,Svalbard,Svalbard ,Kapp Linne 2,Continuous,13.6367,78.0546,20.7021,39,POINT (13.636671 78.054605),2000,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.99,Svalbard,Svalbard ,Kapp Linne 3,Continuous,13.64,78.0532,24.6221,10,POINT (13.639976 78.053183),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.100,Svalbard,Svalbard ,Kapp Linne 4,Continuous,13.7399,78.0579,73.5402,2.8,POINT (13.739926 78.057891),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.101,Canada,Mackenzie Delta,Involuted Hill IH88-2,Continuous,-132.632,69.4741,31,35,POINT (-132.631954 69.474088),2007,2013,11,Mark Nixon,8
tsp.102,United States,Franklin Bluff,Franklin Bluffs 1 (deep),Continuous,-148.7208,69.6741,122.8648,60,POINT (-148.720761 69.674138),2005,2012,10,Vladimir E. Romanovsky,5
tsp.103,United States,Franklin Bluff,Franklin Bluffs (dry)_b,Continuous,-148.7208,69.6741,122.8686,1,POINT (-148.720766 69.67414),2009,2013,10,Vladimir E. Romanovsky,5
tsp.104,United States,Franklin Bluff,Franklin Bluffs (dry)_be,Continuous,-148.7208,69.6741,122.8686,1,POINT (-148.720766 69.67414),2007,2013,10,Vladimir E. Romanovsky,5
tsp.105,United States,Franklin Bluff,Franklin Bluffs (dry)_ib,Continuous,-148.7208,69.6741,122.8686,1,POINT (-148.720766 69.67414),2005,2009,10,Vladimir E. Romanovsky,5
tsp.106,United States,Franklin Bluff,Franklin Bluffs (surface),Continuous,-148.722,69.6551,130,1,POINT (-148.722016 69.65513),2007,2013,10,Vladimir E. Romanovsky,5
tsp.107,United States,Franklin Bluff,Franklin Bluffs (wet)_b,Continuous,-148.722,69.6551,130,1,POINT (-148.722016 69.65513),2007,2013,10,Vladimir E. Romanovsky,5
tsp.108,United States,Franklin Bluff,Franklin Bluffs (wet)_ib,Continuous,-148.722,69.6551,130,1,POINT (-148.722016 69.65513),2007,2013,10,Vladimir E. Romanovsky,5
tsp.109,United States,Happy Valley,Happy Valley 1 (deep),Continuous,-148.8374,69.1565,316.8069,40,POINT (-148.837404 69.156459),2007,2013,10,Vladimir E. Romanovsky,5
tsp.110,United States,Happy Valley,Happy Valley 1_ib,Continuous,-148.8483,69.1466,308.9124,1,POINT (-148.848301 69.146641),2005,2009,10,Vladimir E. Romanovsky,5
tsp.111,United States,Imnavait,Imnaviat 1 (surface),Continuous,-149.3523,68.6397,863.5773,1,POINT (-149.352341 68.639656),2000,2013,10,Vladimir E. Romanovsky,5
tsp.112,United States,Imnavait,Imnaviat 2,Continuous,-149.3494,68.64,856.6143,11.5,POINT (-149.349422 68.640006),2007,2013,10,Vladimir E. Romanovsky,5
tsp.113,United States,Imnavait,Imnaviat 3,Continuous,-148.3169,68.6239,639.9653,8.5,POINT (-148.316944 68.623889),2007,2013,99,Doug L. Kane,56
tsp.114,United States,Imnavait,Imnaviat 4,Continuous,-148.2836,68.6239,909.7817,8.5,POINT (-148.283611 68.623889),2007,2013,99,Doug L. Kane,56
tsp.115,United States,Kaktovik,Kaktovik (ANWR / Barter),Continuous,-143.6285,70.1165,12.3337,77,POINT (-143.62855 70.11653),2008,2012,10,Vladimir E. Romanovsky,5
tsp.116,United States,Sagwon,Sagwon MNT,Continuous,-148.6738,69.433,277.8617,1,POINT (-148.67385 69.43303),2013,2013,99,Doug L. Kane,56
tsp.117,United States,West Dock,West Dock 1 (deep),Continuous,-148.5522,70.3745,0,63,POINT (-148.552166 70.374467),2005,2009,10,Vladimir E. Romanovsky,5
tsp.118,United States,West Dock,West Dock 1 (surface),Continuous,-148.5522,70.3745,2.9901,1,POINT (-148.55216 70.37446),2009,2013,10,Vladimir E. Romanovsky,5
tsp.119,Canada,Mackenzie Delta,CD101,Discontinuous,-134.8223,68.297,2,18.8,POINT (-134.822334 68.296961),2007,2013,55,Julian Kanigan,32
tsp.120,Canada,Mackenzie Delta,CD102,Discontinuous,-134.8379,68.3696,2,20,POINT (-134.837907 68.369635),2007,2013,55,Julian Kanigan,32
tsp.121,Canada,Mackenzie Delta,CD103A,Discontinuous,-135.0177,68.2776,2.396,19.8,POINT (-135.01765 68.277565),2007,2013,55,Julian Kanigan,32
tsp.122,Canada,Mackenzie Delta,CD104,Discontinuous,-134.8918,68.2607,2,20,POINT (-134.891808 68.26066),2007,2013,55,Julian Kanigan,32
tsp.123,Canada,Mackenzie Delta,CD105,Discontinuous,-134.6875,68.3173,2,20.8,POINT (-134.687473 68.317266),2000,2013,55,Julian Kanigan,32
tsp.124,Canada,Mackenzie Delta,CD106,Discontinuous,-134.3743,68.712,24.5442,20.1,POINT (-134.374303 68.711988),2007,2013,55,Julian Kanigan,32
tsp.125,Canada,Mackenzie Delta,CD107,Discontinuous,-134.3296,68.7379,11.5669,20.4,POINT (-134.329615 68.737934),2007,2013,55,Julian Kanigan,32
tsp.126,Canada,Mackenzie Delta,CD108,Discontinuous,-134.3741,68.7132,25.3066,20.3,POINT (-134.374073 68.713153),2007,2013,55,Julian Kanigan,32
tsp.127,Canada,Mackenzie Delta,CD109,Discontinuous,-134.489,68.6578,2,20,POINT (-134.489005 68.657753),2000,2013,55,Julian Kanigan,32
tsp.128,Canada,Mackenzie Delta,CD110,Discontinuous,-134.4197,68.6458,4.3977,20,POINT (-134.419685 68.645752),2007,2013,55,Julian Kanigan,32
tsp.129,Canada,Mackenzie Delta,CD111,Discontinuous,-134.3201,68.7253,16.9265,20,POINT (-134.320117 68.72525),2007,2013,55,Julian Kanigan,32
tsp.130,Canada,Mackenzie Delta,KUM02 SWIL,Discontinuous,-135.2108,69.3223,-5.2514,15,POINT (-135.2108204 69.322299),2007,2013,56,Steven Kokelj,32
tsp.131,Canada,Mackenzie Delta,KUM02 TWIL,Discontinuous,-135.2098,69.3226,-7.8744,15,POINT (-135.2097826 69.32257),2005,2009,56,Steven Kokelj,32
tsp.132,Canada,Mackenzie Delta,Lousy 1-91GSC6,Continuous,-134.4408,69.2408,30,30,POINT (-134.440833 69.240833),2007,2013,11,Mark Nixon,8
tsp.133,Canada,Mackenzie Delta,Lousy 8-91GSC13,Continuous,-134.285,69.2183,30,30,POINT (-134.285 69.218333),2007,2013,11,Mark Nixon,8
tsp.134,Canada,Mackenzie Delta,M049007H-01,Discontinuous,-136.0056,69.1725,0,20,POINT (-136.005592 69.17249),2005,2009,39,Sharon Smith,8
tsp.135,Canada,Mackenzie Delta,M049013ReindeerCh,Discontinuous,-135.5129,69.0179,0,20,POINT (-135.512946 69.017911),2007,2013,39,Sharon Smith,8
tsp.136,Canada,Mackenzie Delta,M049014Langley,Discontinuous,-135.136,69.0832,0,20,POINT (-135.136009 69.083242),2005,2009,39,Sharon Smith,8
tsp.137,Canada,Mackenzie Delta,Norris Creek NC-01,Continuous,-133.2901,68.4066,23,8.75,POINT (-133.29005 68.406617),2007,2013,39,Sharon Smith,8
tsp.138,Canada,Mackenzie Delta,North Caribou Lake 1,Continuous,-132.9328,68.1475,214,5,POINT (-132.9328 68.1475),2007,2013,39,Sharon Smith,8
tsp.139,Canada,Mackenzie Delta,North Caribou Lake 2,Continuous,-132.9319,68.147,214.4869,5,POINT (-132.931883 68.147017),2007,2013,39,Sharon Smith,8
tsp.140,Canada,Mackenzie Delta,SD100,Discontinuous,-134.4104,67.989,11,20,POINT (-134.410435 67.989013),2000,2013,55,Julian Kanigan,32
tsp.141,Canada,Mackenzie Delta,SD101,Discontinuous,-134.3292,67.9162,11,20,POINT (-134.329167 67.916172),2007,2013,55,Julian Kanigan,32
tsp.142,Canada,Mackenzie Delta,SD103,Discontinuous,-134.2935,67.9464,11,20,POINT (-134.293471 67.946449),2000,2013,55,Julian Kanigan,32
tsp.143,Canada,Mackenzie Delta,SD103A,Discontinuous,-134.3018,67.9457,11,20,POINT (-134.301823 67.945704),2005,2009,55,Julian Kanigan,32
tsp.144,Canada,Mackenzie Delta,SD105,Discontinuous,-134.2976,67.9891,11,20,POINT (-134.297622 67.989136),2007,2013,55,Julian Kanigan,32
tsp.145,Canada,Mackenzie Delta,SD11,Discontinuous,-134.776,67.8399,6.8603,20,POINT (-134.776045 67.839938),2007,2013,55,Julian Kanigan,32
tsp.146,Canada,Mackenzie Delta,SD117,Discontinuous,-134.8431,67.8774,6,20,POINT (-134.84312 67.877436),2007,2013,55,Julian Kanigan,32
tsp.147,Canada,Mackenzie Delta,SD118,Discontinuous,-134.7487,67.8702,6,20,POINT (-134.748685 67.870161),2007,2013,55,Julian Kanigan,32
tsp.148,Canada,Mackenzie Delta,SD119,Discontinuous,-134.7542,67.8689,6,20,POINT (-134.754169 67.868932),2007,2013,55,Julian Kanigan,32
tsp.149,Canada,Mackenzie Delta,SD13,Discontinuous,-134.7871,67.8545,9,20,POINT (-134.787125 67.854537),2007,2013,55,Julian Kanigan,32
tsp.150,Canada,Mackenzie Delta,SD13A,Discontinuous,-134.7857,67.8547,9,20,POINT (-134.785722 67.854679),2007,2013,55,Julian Kanigan,32
tsp.151,Canada,Mackenzie Delta,SD99,Discontinuous,-134.3856,67.9888,11,20,POINT (-134.385574 67.988806),2007,2013,55,Julian Kanigan,32
tsp.152,Canada,Mackenzie Delta,Swimming Pt1 91GSC1,Discontinuous,-134.3989,69.1083,16.4352,30,POINT (-134.398889 69.108333),2007,2013,11,Mark Nixon,8
tsp.153,Canada,Mackenzie Delta,Swimming Pt2 91GSC2,Discontinuous,-134.3806,69.1097,9.1623,30,POINT (-134.380556 69.109722),2000,2013,11,Mark Nixon,8
tsp.154,Canada,Mackenzie Delta,Swimming Pt5 91GSC5,Discontinuous,-134.3481,69.1086,0,30,POINT (-134.348056 69.108611),2007,2013,11,Mark Nixon,8
tsp.155,Canada,Mackenzie Delta,T4 upland,Discontinuous,-133.5837,68.6078,83.6763,10,POINT (-133.583683 68.607817),2000,2013,39,Sharon Smith,8
tsp.156,Canada,Mackenzie Delta,T5 upland,Continuous,-133.8381,68.9583,39.4353,10,POINT (-133.838114 68.958289),2007,2013,39,Sharon Smith,8
tsp.157,Canada,Mackenzie Delta,T6 upland,Continuous,-134.1847,69.2167,0,5,POINT (-134.184722 69.216667),2007,2013,56,Steven Kokelj,32
tsp.158,Canada,Mackenzie Delta,T7 upland,Continuous,-134.5379,69.3081,-4.6436,10,POINT (-134.5378547 69.308135),2007,2013,56,Steven Kokelj,32
tsp.159,Canada,Mackenzie Delta,TAG04 SEDG,Continuous,-134.9858,69.6,-6.44,15,POINT (-134.985833 69.6),2005,2009,56,Steven Kokelj,32
tsp.160,Canada,Mackenzie Delta,TAG04 SWIL,Continuous,-134.982,69.3708,-6.4623,15,POINT (-134.9819938 69.37079),2005,2009,56,Steven Kokelj,32
tsp.161,Canada,Mackenzie Delta,TAG04 TWIL,Continuous,-134.9853,69.6,-6.4431,15,POINT (-134.985278 69.6),2005,2009,56,Steven Kokelj,32
tsp.162,Canada,Mackenzie Delta,Taglu */C4,Discontinuous,-134.9486,69.3692,17.3522,30,POINT (-134.948611 69.369167),2007,2013,11,Mark Nixon,8
tsp.163,Canada,Mackenzie Delta,Wood Bridge Lake,Continuous,-132.178,67.9021,187.577,4.3,POINT (-132.177983 67.902133),2007,2013,39,Sharon Smith,8
tsp.164,Canada,Mackenzie Delta,YaYa Lake/90SI1,Discontinuous,-134.7125,69.1456,30,18,POINT (-134.7125 69.145556),2007,2013,11,Mark Nixon,8
tsp.165,Svalbard,Svalbard ,Old Auroral Station,Continuous,15.8259,78.2011,6.0172,10,POINT (15.8259 78.2011),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.166,Svalbard,Svalbard ,Old Auroral Station PYRN,Continuous,15.8346,78.2015,7.5238,10,POINT (15.83465 78.20146),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.167,Svalbard,Svalbard ,Snow drift 1,Continuous,15.9132,78.1875,16.0319,10,POINT (15.91324 78.18752),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.168,Svalbard,Svalbard ,Snow drift 2,Continuous,15.9132,78.1875,16.0319,12,POINT (15.91324 78.18752),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.169,Russia,Nadym,Nadym 12_75,Discontinuous,72.8732,65.3156,7,10,POINT (72.87325 65.315638),2007,2013,76,Natalia Moskalenko,43
tsp.170,Russia,Nadym,Nadym 14_72,Discontinuous,72.8693,65.3153,25,10,POINT (72.8693 65.3153),2007,2013,76,Natalia Moskalenko,43
tsp.171,Russia,Nadym,Nadym 1_71,Discontinuous,72.8239,65.3086,25,10,POINT (72.8239 65.3086),2000,2013,76,Natalia Moskalenko,43
tsp.172,Russia,Nadym,Nadym 23_75,Discontinuous,72.8606,65.3147,25,10,POINT (72.8606 65.3147),2007,2013,76,Natalia Moskalenko,43
tsp.173,Russia,Nadym,Nadym 23a_75,Discontinuous,72.8612,65.3147,25,10,POINT (72.8612 65.3147),2007,2013,76,Natalia Moskalenko,43
tsp.174,Russia,Nadym,Nadym ND2,Discontinuous,72.8872,65.3134,25,1.5,POINT (72.8872 65.3134),2007,2013,76,Natalia Moskalenko,43
tsp.175,Russia,Nadym,Nadym ND3,Discontinuous,72.8629,65.3146,7,1.5,POINT (72.8629 65.3146),2007,2013,76,Natalia Moskalenko,43
tsp.176,Russia,Nadym,Nadym ND3_4,Discontinuous,72.8618,65.3145,7,1.5,POINT (72.861805 65.314472),2007,2013,76,Natalia Moskalenko,43
tsp.177,Russia,Nadym,Nadym PiCla,Discontinuous,72.892,65.3055,7,1.5,POINT (72.892027 65.3055),2007,2013,76,Natalia Moskalenko,43
tsp.178,Russia,Nadym,Nadym Pingo,Discontinuous,72.895,65.2985,7.6335,0.6,POINT (72.895 65.298472),2007,2013,76,Natalia Moskalenko,43
tsp.179,Russia,Nadym,Nadym THA,Discontinuous,72.862,65.3166,25,30,POINT (72.862 65.3166),2007,2013,76,Natalia Moskalenko,43
tsp.180,Russia,Vorkuta,Vorkuta DS-3/VII-74,Discontinuous,63.3723,67.3956,151.4132,22.9,POINT (63.37228 67.39564),2007,2013,83,Naum G. Oberman,46
tsp.181,Russia,Vorkuta,Vorkuta EK-67,Discontinuous,63.3333,67.3833,182.6064,150,POINT (63.33333333 67.38333333),2007,2013,138,Ivan Valentinovich Derevyanko,72
tsp.182,Russia,Vorkuta,Vorkuta K-887,Continuous,64.1738,67.5486,220.2066,85,POINT (64.17378 67.54861),2005,2009,83,Naum G. Oberman,46
tsp.183,Russia,Vorkuta,Vorkuta R-53,Continuous,62.3726,67.3318,80.0847,10,POINT (62.37263 67.33183),2000,2013,83,Naum G. Oberman,46
tsp.184,Russia,Vorkuta,Vorkuta R-57,Continuous,62.3899,67.3248,90,15,POINT (62.38992 67.32485),2007,2013,83,Naum G. Oberman,46
tsp.185,Russia,Vorkuta,Vorkuta R-64,Continuous,62.377,67.3471,85.9755,10,POINT (62.37699 67.3471),2007,2013,83,Naum G. Oberman,46
tsp.186,Russia,Vorkuta,Vorkuta R-71,Continuous,62.3372,67.3461,90,15,POINT (62.33724 67.34613),2007,2013,83,Naum G. Oberman,46
tsp.187,Russia,Vorkuta,Vorkuta R-9,Continuous,62.3501,67.3409,86.2647,19,POINT (62.35008 67.34088),2013,2013,83,Naum G. Oberman,46
tsp.188,Russia,Vorkuta,Vorkuta R-92,Continuous,62.3898,67.3216,90,15,POINT (62.38978 67.32156),2007,2013,83,Naum G. Oberman,46
tsp.189,Russia,Vorkuta,Vorkuta RU0040,Continuous,62.3371,67.3379,90,22,POINT (62.33707 67.33792),2007,2013,83,Naum G. Oberman,46
tsp.190,Russia,Vorkuta,Vorkuta RU0041,Continuous,62.3898,67.3216,90,15,POINT (62.38978 67.32156),2008,2011,83,Naum G. Oberman,46
tsp.191,Russia,Vorkuta,Vorkuta SH-14,Sporadic,64.897,67.3703,459.7289,10,POINT (64.89704 67.37031),2000,2013,83,Naum G. Oberman,46
tsp.192,Russia,Vorkuta,Vorkuta SH-15,Sporadic,64.8905,67.3706,469.5621,32,POINT (64.89051 67.37059),2013,2013,83,Naum G. Oberman,46
tsp.193,Russia,Vorkuta,Vorkuta SH-3,Sporadic,64.894,67.3882,377.0497,50,POINT (64.89404 67.3882),2005,2009,83,Naum G. Oberman,46
tsp.194,Russia,Vorkuta,Vorkuta UP-35,Sporadic,64.4842,67.4048,140.0318,50,POINT (64.4842 67.40484),2008,2013,83,Naum G. Oberman,46
tsp.195,Russia,Vorkuta,Vorkuta VK-1615,Discontinuous,63.35,67.4667,204.683,200.8,POINT (63.35 67.46666667),2013,2013,138,Ivan Valentinovich Derevyanko,72
tsp.196,Russia,Vorkuta,Vorkuta VK-1618,Discontinuous,63.4097,67.4456,180,83,POINT (63.4097 67.4456),2013,2013,83,Naum G. Oberman,46
tsp.197,Russia,Vorkuta,Vorkuta Ya1,Continuous,64.0037,67.5073,122.6707,22,POINT (64.00369 67.50732),2013,2013,83,Naum G. Oberman,46
