FID,country_name,site_name,type,activelayer_name,permafrost_zone,data_start,data_end,longitude,latitude,geom_ref,responsible_person,responsible_person_name,id_orga
calm.232,United States,Happy Valley,Grid,Lupine Hill,Continuous,,,-148.5928,69.1288,POINT (-148.5928 69.12883),12,Nikolay Shiklomanov,4
calm.233,United States,Betty Pingo,Grid,Betty Pingo WET,Continuous,1995,2015,-148.919,70.275,POINT (-148.919 70.275),12,Nikolay Shiklomanov,4
calm.234,United States,Betty Pingo,Grid,Betty Pingo MNT,Continuous,1995,2014,-148.8928,70.2835,POINT (-148.8928 70.2835),12,Nikolay Shiklomanov,4
calm.235,United States,Barrow,Grid,"Barrow, CRREL Plots",Continuous,,,-156.5833,71.3166,POINT (-156.5833 71.3166),12,Nikolay Shiklomanov,4
calm.236,Antarctica,Ross Island,Transect,Scott Base,Continuous,,,166.7666,-77.85,POINT (166.7666 -77.85),24,Megan Balks,11
calm.237,Antarctica,Wright Valley,Transect,Bull Pass,Continuous,,,161.8666,-77.5166,POINT (161.8666 -77.5166),24,Megan Balks,11
calm.238,Antarctica,Marble Point,Transect,Marble Point,Continuous,,,163.6833,-77.4167,POINT (163.6833 -77.41666),24,Megan Balks,11
calm.239,Antarctica,Mount Fleming,Transect,Mt Fleming,Continuous,,,160.2902,-77.5452,POINT (160.29016667 -77.54519444),24,Megan Balks,11
calm.240,Antarctica,Victoria Valley,Transect,Victoria Valley1,Continuous,,,161.6166,-77.3333,POINT (161.6166 -77.3333),24,Megan Balks,11
calm.241,Antarctica,Minna Bluff,Transect,Minna Bluff,Continuous,,,166.75,-78.5,POINT (166.75 -78.5),24,Megan Balks,11
calm.242,Antarctica,Granite Harbour,Transect,Granite Harbour,Continuous,,,162.5167,-77,POINT (162.5166667 -77),24,Megan Balks,11
calm.243,Antarctica,Beacon Valley,Transect,Beacon Valley1,Continuous,,,160.6,-77.85,POINT (160.6 -77.85),26,Ron Sletten,4
calm.244,Antarctica,Beacon Valley,Transect,Beacon Valley2,Continuous,,,160.7167,-77.8,POINT (160.716666 -77.8),26,Ron Sletten,4
calm.245,Russia,Samoylov (Lena River Delta),Grid,Samoylov,Continuous,2002,2017,126.4806,72.3698,POINT (126.480632 72.369775),71,Julia Boike,42
calm.246,Russia,Chara,Grid,Belenkiy,Continuous,2013,2014,118.189,56.7604,POINT (118.18903 56.76038),152,Daria Aleksyutina,65
calm.247,Russia,Chara,Grid,Most,Continuous,2013,2014,118.2807,56.9063,POINT (118.280672 56.906264),152,Daria Aleksyutina,65
calm.248,Antarctica,Deception Island,Grid,Crater Lake,Discontinuous,,,-60.6791,-62.9685,POINT (-60.67911111 -62.96852778),28,Miguel Ramos,13
calm.249,Russia,Novyi Urengoy,Grid,Urengoy GAS FIELD GP15,Discontinuous,2008,2017,76.6953,67.4779,POINT (76.69529 67.47791),75,Dmitry S. Drozdov,43
calm.250,Russia,Novyi Urengoy,Grid,Urengoy GAS FIELD GP5,Discontinuous,2008,2017,76.9077,66.3154,POINT (76.90772 66.31537),75,Dmitry S. Drozdov,43
calm.252,Russia,Chukotka,Grid,Kruglaya,Continuous,2010,2015,176.9667,64.6333,POINT (176.9667 64.63333),163,Oleg Tregubov,80
calm.253,Russia,Cherskii,Grid,Omolon,Unknown,2007,2017,158.9032,68.7222,POINT (158.9031667 68.72216667),166,Denis Shmelev,14
calm.254,Russia,Tiksi,Grid,Bykovsky Cape,Continuous,2015,2017,129.4167,71.783,POINT (129.4167 71.783),32,David A. Gilichinsky,14
calm.257,Antarctica,Deception Island,Grid,CALM Irizar 2 grid,Unknown,2009,2016,-60.718,-62.98,POINT (-60.718 -62.98),29,Gonçalo Vieira,15
calm.259,Antarctica,James Ross Island,Grid,CALM-S Johann Gregor Mendel,Continuous,,,-57.884,-63.8018,POINT (-57.88397598 -63.80179655),180,Filip Hrbacek,82
calm.260,Russia,Vorkuta,Grid,Harp,Unknown,2016,2017,66.0805,66.7235,POINT (66.080488 66.723483),181,Yaroslav Kamnev,84
calm.261,Russia,Vorkuta,Grid,Seida,Unknown,2012,2017,62.9251,67.0656,POINT (62.92508 67.06556),119,Dmitry Kaverin,64
