value,id
581,USA
112,Germany
92,United Arab Emirates
88,Canada
70,Australia
56,Japan
47,China
43,UK
42,France
32,India
30,Sweden
29,Netherlands
23,Romania
20,Kenya
19,Brazil
19,Norway
16,Italy
16,Northern Cyprus
15,Argentina
13,New Zealand
12,Austria
11,Finland
11,Spain
10,Mexico
9,Swaziland
8,Belgium
8,Venezuela
7,Thailand
6,Denmark
6,Somaliland
6,Switzerland
5,Israel
5,Malaysia
5,Peru
4,Bangladesh
4,Nigeria
4,Philippines
4,Poland
4,South Africa
4,Tajikistan
3,Botswana
3,Chile
3,Cuba
3,Indonesia
3,Portugal
3,South Ossetia
3,Zambia
2,Benin
2,Costa Rica
2,Greece
2,Guatemala
2,Guinea
2,Niger
2,Saudi Arabia
2,Sri Lanka
2,Trinidad and Tobago
2,Zimbabwe
1,Albania
1,Barbados
1,Bulgaria
1,Czech Republic
1,El Salvador
1,Gambia
1,Hungary
1,Jamaica
1,Kazakhstan
1,Kiribati
1,Malawi
1,Maldives
1,Malta
1,Mauritius
1,Morocco
1,Nepal
1,Samoa
1,Senegal
1,Seychelles
1,Singapore
1,Slovakia
1,Tanzania
1,Togo
1,Uganda
1,Uruguay
1,Uzbekistan
1,Vietnam
