value,id
613,USA
187,UK
97,Canada
96,Australia
86,Germany
70,Netherlands
67,Japan
63,Switzerland
53,France
43,India
41,China
31,New Zealand
29,Argentina
28,Kenya
26,Russia
24,Italy
24,Sweden
21,Austria
18,Norway
16,South Africa
15,Brazil
15,Finland
14,Venezuela
13,Denmark
12,Belgium
12,Poland
11,Mexico
10,Hungary
9,Peru
7,Cuba
7,Spain
7,Zimbabwe
6,Nepal
5,Saudi Arabia
5,Vietnam
4,Indonesia
4,Nigeria
4,Philippines
4,Thailand
3,Benin
3,Iceland
3,Israel
3,Malaysia
3,Sierra Leone
3,Tanzania
2,Bangladesh
2,Barbados
2,Malawi
2,Maldives
2,Portugal
2,Singapore
2,Sri Lanka
2,Tunisia
2,Turkmenistan
2,Uganda
2,Uruguay
2,Hong Kong
1,Albania
1,Algeria
1,Bahamas
1,Botswana
1,Bulgaria
1,Chile
1,Colombia
1,Fiji
1,Ghana
1,Greece
1,South Korea
1,Latvia
1,Mali
1,Niger
1,Pakistan
1,Samoa
1,Senegal
1,Yugoslavia
